Proveedor;Costo;Ventas;Ganancia
EFREN LOPEZ;10366890,47;21249367,32;10882476,85
CASA ARGENTINA;6493055,026;17009774,55;10516719,53
MAKOR S. A.;6102966,524;12377870,62;6274904,093
MLR;4089545,975;7956371,559;3866825,585
ML HILADOS;665506,13;1242243;576736,87
LIBRERIA MAYORISTA CASA PASO;432064,1;909085,19;477021,09
ARCOR S.A;0;384709,7;384709,7
LLANIR DISTRIBUIDORA;288623,13;608469;319845,87
CHOCOLATE MISIONERO;199830,7;391731;191900,3
VALERIA ACCESORIOS ELECTRONICOS;236714,35;549560;312845,65
ARTISTICA DIBU;320434,28;618226,9;297792,62
LIBRERIA SAN JOSE;145943,44;300556,77;154613,33
CHINO OCHO FORTUNA;212521,92;431564,46;219042,54
PLASTIMI;107553,568;233296,94;125743,372
LIBRERIA BUENOS AIRES;180182,73;383236;203053,27
ARTE DISTRIBUCIONES;146326,26;307298;160971,74
VITAL;137666,28;242968;105301,72
POLTECH;107723,52;218357;110633,48
PAPELERA BARILOCHE;110587,56;199763,52;89175,96
MINI SHOP;78111,49;141105,771;62994,281
MERCEDES;35900;88000;52100
PAMELA;6636;17950;11314
DROGUERIA;542;952;410
TOTAL;30465325,45;65862457,3;35397131,85
